Code,Name,Geography,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
 K04000001 , ENGLAND AND WALES , Country ,"60,245,218",625650,621523,645257,657741,667715,684110,704156,698427,702953,721482,741258,742754,733481,728076,735072,706712,693820,694991,697595,695262,700694,702960,715679,746655,756160,772245,761306,775319,798281,801781,827993,841006,840610,835938,846367,827680,821268,818051,792216,792984,788873,797408,800714,767161,713592,700687,715423,730764,739798,769026,798444,828422,806705,824991,821402,826526,822651,824295,812162,792162,772587,742516,711138,691010,670103,640927,614262,588363,587513,574726,554708,554479,559045,567888,594811,637191,480263,458315,447577,404898,352756,305686,306573,292338,271154,244340,217388,192039,163683,141678,550829
 E92000001 , ENGLAND , Country ,"57,112,542",596389,592815,614824,626355,634992,650699,669100,663718,667969,685503,704193,705067,696372,691155,697502,670982,658702,659452,662522,658438,663300,665553,679051,709338,719312,734118,724631,738443,760383,763695,788216,800660,800984,796225,805950,788068,782229,779150,754958,755582,751826,759797,762716,731060,680431,667723,681578,695560,703556,730657,757591,784992,764795,781105,778091,782294,778298,778694,766692,747721,728806,700317,670248,650766,630878,603103,578001,553448,551880,539333,520910,520566,524673,533106,558467,599468,451871,430769,421018,380634,330969,286765,288663,275634,255629,230385,204955,181182,154365,133635,520326
 E12000001 , NORTH EAST , Region ,"2,682,069",25452,25519,26215,27519,28099,29196,29948,29598,30251,31180,31674,32099,31512,30905,31564,30237,29967,29435,30329,35057,35381,33840,32275,31506,31528,32633,31773,32577,32857,33302,34773,34713,34110,33999,35001,34573,34818,34235,33009,32782,32535,32885,33240,32167,28758,27537,29467,30055,30450,32415,35042,37084,35378,36167,36959,37872,38304,39060,38474,38457,38168,36489,35377,35456,34764,33269,32038,30498,30159,29627,28299,28020,28108,28430,29433,31501,22984,21713,20690,17976,16185,14629,14674,13958,13030,11852,10070,9142,7584,6515,23684
 E06000047 , County Durham , Unitary Authority ,"527,704",4642,4688,4875,5007,5121,5279,5576,5539,5708,5869,5921,6036,6033,5790,6053,5912,5743,5598,6068,9172,9070,7511,6411,5980,5665,5825,5721,5728,5760,5976,6229,6340,6192,6134,6344,6247,6369,6196,6093,6244,6193,6259,6177,6209,5558,5320,5657,5816,6012,6669,7119,7617,7185,7589,7704,7930,7997,8148,8002,7795,7804,7407,6962,7260,6942,6680,6471,6302,6113,6103,5800,5851,5743,5955,6001,6481,4834,4681,4534,3812,3353,3123,2996,2787,2612,2442,2029,1816,1519,1293,4377
 E06000005 , Darlington , Unitary Authority ,"109,413",1074,1068,1115,1127,1185,1127,1228,1227,1262,1311,1357,1313,1347,1388,1359,1308,1265,1293,1196,919,852,865,1119,1190,1266,1258,1267,1252,1348,1360,1384,1528,1415,1421,1451,1377,1427,1349,1352,1313,1328,1369,1418,1420,1327,1211,1292,1332,1344,1414,1485,1604,1549,1524,1587,1555,1649,1625,1535,1596,1538,1527,1403,1413,1401,1288,1301,1181,1193,1175,1133,1144,1108,1180,1194,1313,978,930,824,718,647,639,644,609,552,486,416,404,310,303,1034
 E06000001 , Hartlepool , Unitary Authority ,"93,847",900,944,1017,1035,1016,1118,1117,1067,1149,1169,1150,1240,1220,1224,1248,1134,1191,1150,1133,863,870,1035,1084,1126,1032,1140,1069,1118,1132,1130,1174,1217,1158,1187,1246,1194,1178,1173,1111,1059,1110,1096,1105,1056,968,951,1010,962,992,1165,1241,1313,1264,1292,1345,1441,1414,1460,1390,1441,1422,1413,1254,1322,1164,1205,1085,1094,968,1037,1012,931,1024,993,986,1055,754,686,642,532,533,466,488,447,462,430,314,325,259,220,790
 E06000002 , Middlesbrough , Unitary Authority ,"148,583",1782,1707,1772,1848,1889,2012,1892,1980,1958,2081,2042,2083,1993,1822,1866,1830,1834,1808,1809,1671,1705,1920,2021,2039,2367,2359,2338,2333,2322,2314,2336,2164,2250,2244,2235,2219,2198,2069,1984,1845,1812,1801,1783,1678,1480,1455,1530,1569,1524,1594,1640,1734,1690,1645,1806,1762,1833,1895,1835,1844,1924,1768,1747,1703,1734,1681,1547,1505,1385,1415,1278,1268,1239,1213,1233,1343,956,911,828,767,762,630,626,603,575,501,475,394,338,296,1087
 E06000057 , Northumberland , Unitary Authority ,"324,286",2555,2741,2694,2901,3070,3160,3255,3244,3364,3484,3583,3634,3541,3464,3637,3359,3466,3346,3246,2575,2364,2576,2743,3013,3118,3135,3010,3225,3229,3257,3526,3494,3410,3465,3600,3636,3538,3670,3524,3503,3607,3577,3844,3741,3270,3286,3577,3717,3816,4047,4442,4712,4452,4653,4797,4944,4988,5318,5274,5170,5282,5081,5176,5048,4928,4792,4783,4508,4570,4448,4330,4338,4316,4404,4754,4938,3580,3443,3309,2900,2460,2186,2149,2027,1843,1733,1497,1336,1077,924,3539
 E06000003 , Redcar and Cleveland , Unitary Authority ,"137,168",1322,1192,1326,1379,1413,1525,1464,1552,1535,1640,1708,1706,1606,1505,1651,1609,1602,1479,1483,1121,1153,1184,1338,1429,1433,1409,1465,1443,1500,1495,1662,1633,1555,1592,1604,1585,1559,1656,1496,1476,1543,1565,1576,1457,1379,1300,1473,1423,1537,1649,1810,1947,1897,1980,1959,2149,2225,2159,2113,2160,2112,1992,1975,1962,1960,1772,1782,1646,1712,1691,1616,1594,1614,1699,1684,1879,1475,1330,1291,1073,1054,905,907,896,760,727,614,514,432,360,1354
 E06000004 , Stockton-on-Tees , Unitary Authority ,"200,112",1965,1942,2141,2214,2238,2419,2459,2440,2449,2716,2646,2796,2628,2644,2664,2543,2499,2417,2352,1584,1532,1661,1997,2085,2054,2445,2248,2361,2540,2570,2734,2696,2613,2661,2811,2702,2828,2826,2761,2642,2497,2700,2640,2577,2281,2146,2252,2336,2436,2372,2684,2748,2783,2738,2781,2832,2832,2783,2761,2838,2826,2644,2592,2553,2479,2469,2319,2119,2178,2067,2044,1980,1940,1979,2051,2163,1540,1450,1413,1202,1175,1051,1004,943,897,771,650,610,477,402,1584
 E11000007 , Tyne and Wear (Met County) , Metropolitan County ,"1,140,956",11212,11237,11275,12008,12167,12556,12957,12549,12826,12910,13267,13291,13144,13068,13086,12542,12367,12344,13042,17152,17835,17088,15562,14644,14593,15062,14655,15117,15026,15200,15728,15641,15517,15295,15710,15613,15721,15296,14688,14700,14445,14518,14697,14029,12495,11868,12676,12900,12789,13505,14621,15409,14558,14746,14980,15259,15366,15672,15564,15613,15260,14657,14268,14195,14156,13382,12750,12143,12040,11691,11086,10914,11124,11007,11530,12329,8867,8282,7849,6972,6201,5629,5860,5646,5329,4762,4075,3743,3172,2717,9919
 E08000037 , Gateshead , Metropolitan District ,"197,922",1929,1947,1950,2043,2052,2237,2177,2290,2251,2210,2324,2401,2313,2335,2129,2236,2168,2325,2192,2087,1763,1853,1883,2189,2402,2514,2501,2654,2655,2625,2741,2637,2689,2634,2724,2633,2727,2598,2675,2640,2471,2534,2595,2454,2193,2124,2243,2243,2294,2341,2734,2797,2680,2713,2713,2898,2860,2843,2766,2833,2781,2601,2503,2479,2537,2432,2181,2205,2073,2057,1948,1934,2058,2044,2166,2294,1592,1601,1470,1296,1182,1131,1134,1168,1027,923,735,725,617,564,1802
 E08000021 , Newcastle upon Tyne , Metropolitan District ,"306,402",3117,3094,3089,3233,3274,3330,3504,3289,3400,3453,3351,3470,3357,3376,3284,3132,3056,3025,4132,9232,10485,9519,7400,5826,5280,5342,5026,4897,4678,4613,4517,4260,4526,4110,4376,4274,4152,4000,3889,3853,3901,3704,3693,3501,3196,3035,3270,3237,3099,3148,3237,3516,3239,3271,3320,3389,3419,3522,3444,3468,3378,3187,3163,3148,3051,2808,2755,2527,2510,2455,2323,2199,2259,2197,2293,2572,1773,1694,1615,1402,1264,1119,1240,1170,1079,1029,898,845,666,593,2360
 E08000022 , North Tyneside , Metropolitan District ,"210,512",2030,1947,2061,2350,2313,2303,2428,2337,2441,2457,2449,2407,2503,2433,2514,2340,2443,2321,2119,1674,1551,1599,1833,2001,2172,2281,2266,2429,2497,2541,2745,2834,2715,2877,2833,2956,2950,2996,2906,2900,2831,2996,3084,2894,2488,2389,2532,2648,2582,2750,2996,2995,2870,2850,2909,2931,2978,3031,3035,3100,2973,2782,2790,2683,2760,2531,2537,2462,2433,2439,2235,2206,2238,2248,2423,2516,1852,1666,1642,1384,1210,1053,1158,1058,1030,900,810,736,604,525,1987
 E08000023 , South Tyneside , Metropolitan District ,"148,608",1402,1552,1471,1575,1649,1665,1788,1654,1719,1717,1750,1794,1756,1754,1758,1646,1604,1604,1560,1315,1291,1306,1466,1518,1545,1637,1671,1702,1707,1844,1840,2007,1930,1978,2015,2059,2148,1997,1828,1814,1858,1861,1892,1844,1526,1469,1557,1655,1683,1777,1902,2046,1976,2101,2128,2119,2252,2268,2265,2240,2172,2205,2114,2119,2027,1932,1900,1744,1803,1702,1529,1594,1642,1573,1643,1681,1316,1155,1095,1036,899,818,829,781,779,707,594,519,444,387,1414
 E08000024 , Sunderland , Metropolitan District ,"277,512",2734,2697,2704,2807,2879,3021,3060,2979,3015,3073,3393,3219,3215,3170,3401,3188,3096,3069,3039,2844,2745,2811,2980,3110,3194,3288,3191,3435,3489,3577,3885,3903,3657,3696,3762,3691,3744,3705,3390,3493,3384,3423,3433,3336,3092,2851,3074,3117,3131,3489,3752,4055,3793,3811,3910,3922,3857,4008,4054,3972,3956,3882,3698,3766,3781,3679,3377,3205,3221,3038,3051,2981,2927,2945,3005,3266,2334,2166,2027,1854,1646,1508,1499,1469,1414,1203,1038,918,841,648,2356
 E12000002 , NORTH WEST , Region ,"7,515,718",78867,78342,81635,83728,84102,86995,89399,88702,89490,91560,93445,93795,92489,91972,92505,88751,88370,88262,88200,91367,93193,91471,90737,94110,93184,95948,92977,95165,97327,98685,101729,104325,102844,102408,104510,100611,101496,101407,97241,96974,95603,95352,95819,91411,84392,82379,85312,87728,88871,93277,98844,103062,100412,103480,101894,103108,102779,104368,103358,100978,99694,95365,91469,88291,85759,82296,78591,74937,74570,73484,70449,71004,71290,72093,75520,80906,59145,55936,55148,50090,43925,39270,38248,36436,33676,29947,26623,22976,19218,16429,62188
 E06000008 , Blackburn with Darwen , Unitary Authority ,"155,823",1905,1954,2004,2086,2014,2148,2263,2245,2168,2272,2368,2406,2368,2452,2403,2306,2336,2293,2190,1869,1851,1792,1877,1987,2043,1951,1923,2027,2056,2006,2065,2194,2046,2141,2225,2142,2176,2225,2144,2139,2238,2162,2194,2050,1926,1810,1869,1896,1922,2031,2087,2057,2022,2096,2048,1925,1904,1924,1828,1833,1781,1700,1653,1599,1458,1453,1424,1387,1243,1335,1210,1150,1178,1157,1225,1283,894,829,810,721,646,570,561,577,525,401,373,336,277,260,925
 E06000009 , Blackpool , Unitary Authority ,"141,648",1432,1374,1485,1579,1492,1638,1533,1613,1604,1620,1655,1536,1647,1629,1631,1547,1588,1664,1604,1154,1273,1368,1475,1456,1564,1719,1592,1603,1708,1763,1838,1965,1932,1884,1894,1926,1873,1796,1656,1728,1600,1562,1708,1561,1429,1453,1549,1552,1625,1824,1926,2022,2031,2215,2121,2198,2246,2146,2281,2191,2197,2042,1912,1910,1844,1716,1768,1535,1484,1433,1412,1386,1393,1510,1579,1681,1300,1184,1140,1097,886,857,809,809,679,671,600,501,395,320,1320
 E06000049 , Cheshire East , Unitary Authority ,"406,587",3914,3926,4055,4055,4433,4452,4524,4445,4420,4672,4802,4807,4647,4749,4729,4490,4457,4604,4196,2668,2552,2899,3575,4012,4048,4263,4058,4442,4565,4621,4775,5190,4997,5061,5231,5027,5249,5263,4978,5017,4987,5028,5139,4999,4639,4724,4857,5118,5235,5425,5750,6038,5886,6242,6287,6136,6182,6209,6036,6186,5959,5738,5397,5195,4954,4681,4570,4516,4470,4462,4319,4498,4510,4575,5045,5449,3872,3845,3871,3420,2906,2572,2531,2368,2284,2026,1851,1608,1297,1158,4669
 E06000050 , Cheshire West and Chester , Unitary Authority ,"361,799",3373,3407,3509,3586,3745,3805,3937,3879,4032,4108,4282,4199,4141,4096,4239,4029,3985,3979,3829,3222,3461,3644,3896,4086,4105,4222,4017,4234,4369,4348,4709,4729,4593,4651,4726,4515,4512,4775,4493,4612,4568,4444,4530,4450,4037,3807,4084,4369,4485,4804,5145,5242,5176,5250,5316,5197,5353,5332,5452,5375,5118,4905,4636,4491,4460,4246,4178,3895,3986,3971,3731,3798,3875,3939,4231,4310,3368,3247,3086,2791,2437,2242,2183,2074,1916,1707,1485,1291,1067,924,3716
 E06000006 , Halton , Unitary Authority ,"129,008",1323,1350,1387,1361,1432,1497,1523,1571,1561,1602,1660,1613,1654,1587,1649,1583,1669,1533,1485,1108,1148,1271,1379,1470,1435,1440,1442,1551,1631,1574,1744,1755,1677,1662,1828,1761,1690,1732,1766,1724,1671,1705,1676,1650,1455,1539,1599,1621,1579,1716,1754,1850,1814,1754,1782,1832,1772,1821,1794,1802,1891,1714,1577,1713,1599,1494,1532,1451,1407,1374,1359,1409,1367,1364,1390,1450,971,824,869,768,713,596,573,550,474,439,385,380,290,248,823
 E06000007 , Warrington , Unitary Authority ,"211,797",1975,1980,2167,2212,2266,2283,2443,2497,2565,2556,2680,2671,2642,2655,2637,2528,2435,2446,2290,1491,1546,1747,2082,2272,2283,2457,2409,2363,2437,2566,2685,2900,2721,2745,2884,2771,2899,2900,2886,2806,2870,2854,2966,2793,2584,2540,2665,2711,2750,3011,2986,3208,3204,3154,3064,3260,3289,3204,3152,3136,2992,2847,2622,2617,2425,2366,2192,2119,2117,2121,1978,2006,2039,2034,2127,2389,1754,1719,1677,1508,1373,1171,1196,1176,1015,901,774,635,576,484,1668
 E10000006 , Cumbria , County ,"502,979",4159,4265,4378,4601,4578,4898,5080,4938,5109,5194,5320,5443,5406,5450,5550,5329,5415,5359,5156,4016,3916,4119,4545,5030,5148,5259,5227,5412,5675,5683,5982,5943,5820,5880,5876,5569,5737,5776,5458,5748,5666,5632,5591,5294,5097,5094,5356,5615,6060,6345,6851,7473,7238,7753,7508,7975,7943,8234,8384,8086,7972,7741,7702,7553,7255,6861,6601,6354,6420,6348,6074,6374,6336,6485,6703,7108,5309,4840,4882,4404,3847,3555,3355,3227,3054,2706,2387,1988,1655,1564,5677
 E07000026 , Allerdale , Non-metropolitan District ,"96,556",748,854,831,832,918,935,939,986,980,999,1017,1124,1127,1116,1103,1052,1016,1018,915,700,699,727,842,926,975,974,910,1000,1088,1067,1123,1135,1062,1061,1068,984,1087,1085,1020,1025,1007,1083,1082,1021,937,931,968,1069,1148,1284,1368,1566,1404,1505,1506,1624,1550,1632,1592,1498,1537,1501,1435,1446,1442,1334,1296,1191,1229,1302,1184,1303,1236,1348,1329,1436,984,935,950,844,729,698,647,622,587,533,458,392,330,312,1143
