,index,england,east of england,london,midlands,north east and yorkshire,north west,south east,south west
0,2021-10-01,520,37,70,121,97,87,44,64
1,2021-10-02,549,37,82,99,130,99,47,55
2,2021-10-03,577,36,57,130,141,97,57,59
3,2021-10-04,627,49,87,127,129,93,63,79
4,2021-10-05,658,58,74,128,166,88,52,92
5,2021-10-06,632,49,76,119,141,93,77,77
6,2021-10-07,634,45,84,135,133,87,56,94
7,2021-10-08,619,65,78,128,144,77,44,83
8,2021-10-09,613,64,67,132,146,83,50,71
9,2021-10-10,606,72,58,116,130,85,74,71
10,2021-10-11,685,71,75,154,131,102,77,75
11,2021-10-12,760,53,93,149,166,116,94,89
12,2021-10-13,752,58,97,138,175,106,81,97
13,2021-10-14,730,68,105,142,160,109,75,71
14,2021-10-15,752,58,99,163,143,132,89,68
15,2021-10-16,743,84,100,159,151,90,81,78
16,2021-10-17,828,95,106,137,161,126,98,105
17,2021-10-18,896,79,94,148,223,132,102,118
18,2021-10-19,894,91,105,188,166,121,123,100
19,2021-10-20,903,83,101,170,194,158,100,97
20,2021-10-21,799,73,71,173,180,121,83,98
21,2021-10-22,760,69,109,149,137,149,82,65
22,2021-10-23,756,97,93,129,154,100,87,96
23,2021-10-24,829,98,96,131,173,119,119,93
24,2021-10-25,865,75,98,140,164,139,116,133
25,2021-10-26,911,96,107,165,197,134,94,118
26,2021-10-27,955,102,98,173,226,131,124,101
27,2021-10-28,888,117,88,173,179,119,116,96
28,2021-10-29,840,95,92,143,172,144,92,102
29,2021-10-30,741,85,80,139,129,122,91,95
30,2021-10-31,860,88,103,146,183,129,108,103
31,2021-11-01,899,95,108,187,166,131,98,114
32,2021-11-02,891,100,100,168,167,130,137,89
33,2021-11-03,807,83,82,177,135,121,117,92
34,2021-11-04,717,82,81,148,122,121,95,68
35,2021-11-05,686,67,82,130,127,113,83,84
36,2021-11-06,688,69,89,122,132,108,92,76
37,2021-11-07,739,90,90,136,124,102,99,98
38,2021-11-08,850,84,121,157,155,114,115,104
39,2021-11-09,808,79,96,162,152,114,109,96
40,2021-11-10,821,88,99,157,148,124,108,97
41,2021-11-11,797,82,106,148,135,102,123,101
42,2021-11-12,729,64,90,135,144,94,116,86
43,2021-11-13,655,78,83,123,124,107,82,58
44,2021-11-14,678,57,105,124,125,87,114,66
