,index,east midlands,east of england,london,north east,north west,south east,south west,west midlands,yorkshire and the humber,england
1,2021-06-02,8964.0,7291.0,10396.0,916.0,7056.0,2897.0,1139.0,5581.0,3475.0,6021.0
2,2021-06-03,8964.0,7291.0,10703.0,916.0,7017.0,2897.0,1139.0,8788.0,3475.0,6585.0
3,2021-06-04,9644.0,4974.0,9520.0,3589.0,6954.0,2577.0,1303.0,8689.0,2626.0,6362.0
4,2021-06-05,9644.0,4974.0,9520.0,3589.0,6954.0,2577.0,1303.0,8007.0,2626.0,6262.0
5,2021-06-06,6863.0,3769.0,8312.0,2581.0,5841.0,2031.0,965.0,6838.0,1961.0,5159.0
6,2021-06-07,5356.0,3515.0,6205.0,2521.0,4643.0,1697.0,967.0,5855.0,1624.0,4161.0
7,2021-06-08,5356.0,3515.0,6205.0,2521.0,4564.0,1697.0,967.0,6058.0,1624.0,4186.0
8,2021-06-09,3415.0,1778.0,4148.0,2515.0,3504.0,1156.0,868.0,5023.0,911.0,2936.0
9,2021-06-10,3415.0,1778.0,4099.0,2515.0,3504.0,1157.0,868.0,3700.0,911.0,2725.0
10,2021-06-11,1560.0,1814.0,5198.0,1378.0,2937.0,1038.0,888.0,2794.0,859.0,2638.0
11,2021-06-12,1560.0,1814.0,5198.0,1378.0,2937.0,1038.0,888.0,2561.0,859.0,2604.0
12,2021-06-13,2327.0,2075.0,4966.0,5229.0,3516.0,1310.0,1216.0,2696.0,997.0,2896.0
13,2021-06-14,3977.0,1793.0,4842.0,5056.0,3791.0,1273.0,1293.0,2758.0,1123.0,2989.0
14,2021-06-15,3977.0,1793.0,4842.0,5056.0,3831.0,1273.0,1293.0,3194.0,1123.0,3057.0
15,2021-06-16,5055.0,1820.0,4421.0,5587.0,3504.0,1405.0,1298.0,2983.0,1381.0,3032.0
16,2021-06-17,5055.0,1820.0,4421.0,5587.0,3495.0,1405.0,1298.0,3030.0,1395.0,3039.0
17,2021-06-18,4955.0,1375.0,3387.0,6573.0,3079.0,1192.0,1580.0,3956.0,1263.0,2839.0
18,2021-06-19,4955.0,1375.0,3387.0,6573.0,3088.0,1192.0,1580.0,3839.0,1245.0,2821.0
19,2021-06-20,4326.0,1516.0,2701.0,4119.0,2902.0,1455.0,2909.0,4356.0,1248.0,2738.0
20,2021-06-21,2837.0,1658.0,3441.0,4630.0,4309.0,2071.0,3314.0,5054.0,1173.0,3178.0
21,2021-06-22,2837.0,1658.0,3471.0,4630.0,4302.0,2071.0,3314.0,4436.0,1173.0,3094.0
22,2021-06-23,2761.0,1903.0,4837.0,9032.0,5397.0,2241.0,3943.0,5664.0,1188.0,3981.0
23,2021-06-24,2761.0,1903.0,4837.0,9032.0,5406.0,2241.0,3943.0,4929.0,1188.0,3873.0
24,2021-06-25,3411.0,3370.0,7237.0,10154.0,5487.0,4574.0,4467.0,5147.0,2676.0,5258.0
25,2021-06-26,3444.0,3370.0,7237.0,10154.0,5477.0,4574.0,4467.0,6509.0,2612.0,5416.0
26,2021-06-27,6020.0,4216.0,9144.0,16848.0,6316.0,5883.0,7962.0,6698.0,3844.0,7169.0
27,2021-06-28,10444.0,5597.0,11863.0,23631.0,6684.0,7510.0,8972.0,9648.0,4706.0,9431.0
28,2021-06-29,10462.0,5597.0,11903.0,23631.0,6684.0,7510.0,8972.0,9648.0,4706.0,9444.0
29,2021-06-30,13917.0,8141.0,16259.0,24505.0,8128.0,10112.0,11945.0,14476.0,7043.0,12523.0
30,2021-07-01,13917.0,8141.0,16259.0,24505.0,12183.0,10112.0,11945.0,14474.0,7043.0,12885.0
31,2021-07-02,13009.0,9790.0,18274.0,28076.0,11755.0,10332.0,15269.0,15791.0,7666.0,14151.0
32,2021-07-03,13107.0,9790.0,18274.0,28076.0,11188.0,10332.0,15269.0,15791.0,7883.0,14127.0
33,2021-07-04,16854.0,15424.0,27381.0,29645.0,15995.0,17876.0,19754.0,35142.0,12058.0,21819.0
34,2021-07-05,16707.0,21208.0,40459.0,32655.0,17571.0,19959.0,21846.0,41197.0,16246.0,27661.0
35,2021-07-06,16823.0,21208.0,40459.0,32655.0,17565.0,19959.0,21846.0,41197.0,16246.0,27669.0
36,2021-07-07,14768.0,19052.0,38287.0,34372.0,16752.0,18907.0,21169.0,36994.0,15604.0,25944.0
37,2021-07-08,14768.0,19052.0,38287.0,34372.0,15924.0,18907.0,21169.0,36997.0,15604.0,25868.0
38,2021-07-09,16648.0,18755.0,39412.0,35824.0,17224.0,17774.0,19449.0,37487.0,14431.0,26129.0
39,2021-07-10,16648.0,18755.0,39412.0,35824.0,17494.0,17774.0,19449.0,37487.0,14397.0,26150.0
40,2021-07-11,16800.0,13958.0,41020.0,37768.0,13940.0,11106.0,13793.0,23569.0,11529.0,22631.0
